Number,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,CO TAQI
75,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-15,Parts per billion,18.26087,34,19,32,Parts per million,0.02225,0.039,11,33,Parts per billion,3.227273,8,10,11,Parts per million,0.766667,1.1,8,13,7
76,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-16,Parts per billion,11.478261,27,7,25,Parts per million,0.027333,0.04,9,34,Parts per billion,1.5,2,5,3,Parts per million,0.416667,0.6,0,7,8
77,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-17,Parts per billion,17.913043,33,19,31,Parts per million,0.020333,0.04,10,34,Parts per billion,3.772727,9,13,13,Parts per million,0.55,0.7,7,8,9
78,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-18,Parts per billion,15.652174,35,19,33,Parts per million,0.024958,0.044,10,37,Parts per billion,2.454545,5,10,7,Parts per million,0.5625,0.8,2,9,7
79,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-19,Parts per billion,5.782609,15,1,14,Parts per million,0.031542,0.041,10,35,Parts per billion,1.772727,4,20,6,Parts per million,0.370833,0.6,0,7,6
80,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-20,Parts per billion,10.217391,28,23,26,Parts per million,0.03225,0.042,9,36,Parts per billion,2.090909,5,5,7,Parts per million,0.329167,0.5,22,6,9
81,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-21,Parts per billion,14.521739,40,19,38,Parts per million,0.027167,0.045,9,38,Parts per billion,1.272727,2,17,3,Parts per million,0.466667,0.8,23,9,11
82,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-22,Parts per billion,21.217391,30,0,28,Parts per million,0.030125,0.047,12,40,Parts per billion,2.272727,4,8,6,Parts per million,0.729167,1,7,11,7
83,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-23,Parts per billion,15.73913,32,20,30,Parts per million,0.024583,0.032,9,27,Parts per billion,1.681818,2,0,3,Parts per million,0.466667,0.6,20,7,8
84,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-24,Parts per billion,16.652174,31,6,29,Parts per million,0.026458,0.034,9,29,Parts per billion,1.909091,2,0,3,Parts per million,0.520833,0.7,7,8,5
85,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-25,Parts per billion,13.173913,29,23,27,Parts per million,0.027125,0.04,10,34,Parts per billion,1.863636,2,0,3,Parts per million,0.320833,0.4,0,5,6
86,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-26,Parts per billion,13.913043,29,0,27,Parts per million,0.029792,0.041,9,35,Parts per billion,2.045455,3,17,4,Parts per million,0.408333,0.5,0,6,5
87,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-27,Parts per billion,11.217391,18,7,17,Parts per million,0.029333,0.035,8,30,Parts per billion,1.545455,2,0,3,Parts per million,0.341667,0.4,0,5,7
88,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-28,Parts per billion,16.304348,26,5,25,Parts per million,0.022542,0.032,20,27,Parts per billion,1.727273,2,0,3,Parts per million,0.4625,0.6,8,7,7
89,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-29,Parts per billion,17.304348,38,22,36,Parts per million,0.025917,0.042,10,36,Parts per billion,2.636364,6,11,9,Parts per million,0.441667,0.6,23,7,11
90,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-30,Parts per billion,20.086957,49,19,46,Parts per million,0.0285,0.048,10,41,Parts per billion,1.727273,4,8,6,Parts per million,0.654167,1,8,11,10
91,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-31,Parts per billion,11.272727,42,19,40,Parts per million,0.038667,0.049,10,42,Parts per billion,1.142857,2,19,3,Parts per million,0.6125,0.9,21,10,10
92,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-01,Parts per billion,11.173913,33,23,31,Parts per million,0.031083,0.049,9,42,Parts per billion,1.227273,2,19,3,Parts per million,0.6,0.9,0,10,13
93,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-02,Parts per billion,16,30,0,28,Parts per million,0.032458,0.061,11,54,Parts per billion,2.5,7,15,10,Parts per million,0.783333,1.1,2,13,14
94,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-03,Parts per billion,20.608696,40,9,38,Parts per million,0.025875,0.038,11,32,Parts per billion,2.409091,8,11,11,Parts per million,0.804167,1.2,10,14,7
95,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-04,Parts per billion,12.391304,20,6,19,Parts per million,0.025708,0.031,8,26,Parts per billion,1.636364,2,6,3,Parts per million,0.516667,0.6,9,7,8
96,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-05,Parts per billion,16.565217,25,5,24,Parts per million,0.022042,0.027,9,23,Parts per billion,2.090909,3,14,4,Parts per million,0.541667,0.7,12,8,8
97,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-06,Parts per billion,18.173913,32,21,30,Parts per million,0.025333,0.039,9,33,Parts per billion,2.090909,3,13,4,Parts per million,0.520833,0.7,20,8,8
98,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-07,Parts per billion,20.869565,28,6,26,Parts per million,0.030042,0.045,13,38,Parts per billion,2.636364,6,12,9,Parts per million,0.654167,0.7,8,8,7
99,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-08,Parts per billion,9,12,7,11,Parts per million,0.032125,0.035,9,30,Parts per billion,1.181818,2,18,3,Parts per million,0.420833,0.6,0,7,6
100,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-09,Parts per billion,8,20,23,19,Parts per million,0.029417,0.037,9,31,Parts per billion,1.181818,2,16,3,Parts per million,0.383333,0.5,14,6,7
101,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-04-10,Parts per billion,17.521739,31,20,29,Parts per million,0.020833,0.034,9,29,Parts per billion,1.545455,2,6,3,Parts per million,0.495833,0.6,6,7,8
