Number,TAQI,Compare
394,57.7132599583,54
395,53.3935549278,58
396,45.8113576911,53
397,46.3352491289,69
398,54.6445267508,147
399,54.6465392259,63
400,66.4947297365,49
401,58.3924230434,49
402,48.105585758,87
403,50.3053817877,64
404,61.0069313759,69
405,60.6254710308,44
406,59.3422389815,45
407,50.4606766138,64
408,50.9767145911,56
409,52.2151247615,51
410,54.5447808597,49
411,52.6034923866,27
412,50.4879426999,30
413,41.0580870808,40
414,39.2838519921,38
415,40.5227867093,46
416,44.7486849614,48
417,49.9330818549,37
418,51.1695129439,49
419,45.787551655,43
420,50.1299031046,46
421,43.0256724904,61
422,47.7688835439,62
423,54.3611136114,36
424,58.2102617105,44
425,46.988008468,46
426,48.7342551013,56
427,48.8539502477,60
428,55.0346941091,61
429,57.8531191311,67
430,57.5578117336,64
431,61.3937000046,65
432,59.2816713291,48
433,59.174170967,38
434,49.9396213108,40
435,46.9691483953,44
436,48.7957463673,44
437,47.6206836848,32
438,49.3817578635,35
439,41.2251436146,43
440,41.8541561152,71
441,48.3398624473,66
442,62.1614135088,38
443,59.5159666694,49
444,46.6189034868,49
445,50.7705454934,48
446,50.7440750903,43
447,52.3008184235,27
448,49.0140811513,45
449,42.7735663749,35
450,45.9707075072,33
451,45.818822501,34
452,36.0300358914,54
453,35.8819147657,53
454,51.7862798506,19
455,47.9808303352,25
456,38.540760922,36
457,37.7398048635,43
458,46.7371352351,24
459,47.796412677,23
460,38.363429399,23
461,38.6096677743,45
462,32.6550076982,27
463,45.2576906289,25
464,34.571203957,22
465,37.974294594,30
466,37.8001951363,24
467,32.307125715,28
468,40.5791926824,29
