Number,O3 AQI,O3 AQI Compare
5788,26.082525602,30
5789,31.1232558397,28
5790,32.2636732065,30
5791,27.8164424407,27
5792,29.3667203509,33
5793,34.1053740679,28
5794,32.0081782628,32
5795,28.2848496417,29
5796,26.5150047954,30
5797,29.3893390009,12
5798,27.6261488334,25
5799,29.8284728731,22
5800,26.9607933463,14
5801,29.8218181943,26
5802,30.0054571228,31
5803,27.8031330831,26
5804,29.1338440573,22
5805,26.0399429156,19
5806,23.8442735547,31
5807,28.0360093768,33
5808,27.1444322749,24
5809,28.7239835138,19
5810,24.7225412991,19
5811,27.5902208258,25
5812,27.8097877619,15
5813,30.7852513114,24
5814,25.8696133447,33
5815,34.4593425674,31
5816,32.8797913284,21
5817,28.029354698,9
5818,26.9315200176,22
5819,30.2676067453,23
5820,26.9315200176,27
5821,31.7819566479,18
5822,28.9142771212,26
5823,29.3667203509,35
5824,31.3494774545,35
5825,30.9036889036,32
5826,30.2742614241,27
5827,29.8284728731,19
5828,26.7052984027,26
5829,30.7852513114,12
5830,27.1870149612,32
5831,29.8058542231,36
5832,31.3428227758,33
5833,36.3010434288,31
5834,28.4684885702,24
5835,29.3893390009,25
5836,27.3706538898,30
5837,27.4065818973,23
5838,25.6074637222,29
5839,27.6261488334,30
5840,28.2422669553,33
5841,27.8457157695,31
5842,32.1093076067,29
5843,33.0301580374,20
5844,31.2310398623,26
5845,33.2271063235,29
5846,33.6662401957,25
5847,33.581074823,25
5848,32.1159622855,33
5849,31.7819566479,37
5850,32.0081782628,38
5851,31.3428227758,36
5852,31.7819566479,34
5853,34.1053740679,33
5854,30.5723390541,32
5855,31.1525291684,34
5856,31.1525291684,35
5857,30.7133952962,42
5858,28.7306381926,30
5859,32.3781119079,33
5860,28.0360093768,29
5861,32.3355292216,31
5862,30.7133952962,33
5863,31.6049723982,24
5864,32.2636732065,22
5865,28.9142771212,21
5866,30.0254211592,37
5867,29.3667203509,40
5868,27.8164424407,34
5869,31.1232558397,31
5870,27.5902208258,19
5871,27.3773085685,31
5872,27.3773085685,37
5873,30.0254211592,33
5874,29.1471534149,35
5875,30.4645550314,42
5876,32.3781119079,39
5877,28.7306381926,31
5878,26.9674480251,34
5879,26.9315200176,30
5880,26.2794738881,31
5881,27.1577416325,30
5882,26.9381746964,39
5883,30.4938283602,35
5884,31.018127605,33
5885,29.3959936797,31
5886,33.3681625657,35
5887,32.7094617574,35
5888,30.9103435824,35
5889,31.8311940131,37
5890,33.5877295018,36
5891,32.001523584,34
5892,30.0254211592,34
5893,30.2449880953,38
5894,32.7879724514,40
5895,30.0254211592,36
5896,30.6841219675,35
5897,35.4653583708,44
5898,31.1525291684,43
5899,33.7647137515,44
5900,30.2449880953,30
5901,30.9103435824,24
5902,31.1299105185,31
5903,31.5690443906,34
5904,31.1299105185,39
5905,31.3494774545,42
5906,33.1485956296,42
5907,35.4294303632,40
5908,34.1053740679,44
5909,32.7094617574,74
5910,34.1053740679,97
5911,35.904492243,58
5912,35.5638319266,49
5913,30.4645550314,34
5914,29.3667203509,44
5915,33.8924618106,44
5916,31.8311940131,40
5917,32.2703278853,40
5918,31.6049723982,40
5919,34.5511626189,42
5920,31.165838526,37
5921,29.8058542231,38
5922,31.3854054621,38
