Number,SO2 TAQI,Compare
5787,21.9605523313,19
5788,20.0288045613,11
5789,13.5174245402,12
5790,14.0949287856,10
5791,13.6964587179,3
5792,8.89739057698,12
5793,14.0949287856,8
5794,11.4066425924,22
5795,21.3830480859,28
5796,25.6046119815,20
5797,19.8497703835,19
5798,19.6505353497,22
5799,21.0047788743,23
5800,22.3388215429,29
5801,25.4255778037,27
5802,23.8923001013,24
5803,22.5380565767,16
5804,17.1614841903,23
5805,22.3388215429,13
5806,16.5637790889,11
5807,14.2739629633,21
5808,20.8055438405,24
5809,22.5380565767,17
5810,18.8737960705,16
5811,17.5397534019,17
5812,18.1172576473,25
5813,23.1155608221,11
5814,15.0305013865,22
5815,19.8699712396,19
5816,18.1374585034,18
5817,18.6947618927,13
5818,15.8072406657,24
5819,22.1597873651,13
5820,15.8072406657,14
5821,15.2499372764,15
5822,16.5839799449,3
5823,8.89739057698,5
5824,9.67412985619,10
5825,12.9399202948,17
5826,17.7389884357,22
5827,21.0047788743,19
5828,19.6505353497,25
5829,23.1155608221,17
5830,18.4955268589,5
5831,10.0523990678,12
5832,14.0949287856,22
5833,19.8699712396,20
5834,19.8497703835,20
5835,19.8497703835,15
5836,16.9622491565,18
5837,19.0730311043,14
5838,16.7630141227,19
5839,19.6505353497,26
5840,23.6930650675,20
5841,20.2280395951,24
5842,22.1597873651,24
5843,22.1597873651,20
5844,19.8497703835,8
5845,11.784911804,10
5846,12.9399202948,18
5847,17.559954258,17
5848,17.7389884357,14
5849,15.2499372764,8
5850,11.4066425924,12
5851,14.0949287856,14
5852,15.2499372764,12
5853,14.0949287856,17
5854,18.1172576473,21
5855,20.0490054173,21
5856,20.0490054173,19
5857,18.8939969265,17
5858,18.1172576473,14
5859,16.0064756995,11
5860,14.2739629633,18
5861,18.3164926811,19
5862,18.8939969265,9
5863,12.3624160494,12
5864,14.0949287856,15
5865,16.5839799449,6
5866,10.6299033132,3
5867,8.89739057698,10
5868,13.6964587179,11
5869,13.5174245402,16
5870,17.5397534019,8
5871,12.5414502271,8
5872,12.5414502271,6
5873,10.6299033132,2
5874,8.31988633158,8
5875,11.784911804,14
5876,16.0064756995,17
5877,18.1172576473,16
5878,17.9180226135,13
5879,15.8072406657,3
5880,9.65392900015,7
5881,11.9639459817,6
5882,11.3864417363,18
5883,18.3164926811,12
5884,14.8514672087,13
5885,15.4289714541,10
5886,12.5616510832,7
5887,10.829138347,3
5888,8.51912136539,3
5889,8.51912136539,11
5890,13.1391553286,15
5891,15.8274415218,6
5892,10.6299033132,7
5893,11.2074075586,6
5894,10.6299033132,6
5895,10.6299033132,9
5896,12.3624160494,14
5897,15.2499372764,21
5898,20.0490054173,16
5899,16.0266765556,7
5900,11.2074075586,3
5901,8.51912136539,4
5902,9.09662561079,6
5903,10.2516341016,4
5904,9.09662561079,5
5905,9.67412985619,9
5906,11.9841468378,11
5907,13.1391553286,12
5908,14.0949287856,7
5909,10.829138347,12
5910,14.0949287856,16
5911,16.4049457672,20
5912,18.3366935372,8
5913,11.784911804,3
5914,8.89739057698,4
5915,9.09662561079,3
5916,8.51912136539,5
5917,9.67412985619,9
5918,12.3624160494,7
5919,10.829138347,7
5920,11.2074075586,5
5921,10.0523990678,8
