Number,NO2 AQI,NO2 AQI Compare
4708,20.2782301848,22
4709,17.5541863035,25
4710,19.4105958465,24
4711,19.5943211841,26
4712,17.9216369786,25
4713,17.6919803067,24
4714,19.0890765059,33
4715,19.3646645122,26
4716,20.1697143793,26
4717,17.5541863035,19
4718,22.0427770591,22
4719,21.7671890528,28
4720,21.0590628694,22
4721,13.6409887432,18
4722,16.329958366,25
4723,18.3241619122,24
4724,19.5592469256,31
4725,19.6051782599,36
4726,24.0278915144,36
4727,21.0482057935,28
4728,19.5483898497,34
4729,19.6861838528,32
4730,17.7838429755,23
4731,18.2782305778,24
4732,19.6402525185,27
4733,20.7726177872,31
4734,25.1802029498,35
4735,20.4970297809,26
4736,23.9559750123,22
4737,18.1053623161,12
4738,16.7324832996,13
4739,13.5950574089,19
4740,16.2380956973,22
4741,19.4105958465,26
4742,18.7158297699,22
4743,19.5483898497,27
4744,17.9567112371,25
4745,18.3241619122,20
4746,21.2745694354,27
4747,19.6861838528,21
4748,13.5031947401,21
4749,13.4681204816,15
4750,16.2840270317,25
4751,16.8702773028,20
4752,18.186367909,23
4753,19.9158405248,30
4754,19.8774732363,32
4755,18.8995551074,27
4756,19.7780465216,34
4757,21.2427882069,25
4758,18.2431563193,26
4759,18.3241619122,19
4760,16.559615038,15
4761,13.3762578128,15
4762,13.2735380682,16
4763,13.732851412,22
4764,17.3997391636,23
4765,13.7787827464,11
4766,13.6518458191,22
4767,16.5487579621,23
4768,19.4047997857,26
4769,20.1530612426,26
4770,13.0547384721,17
4771,17.2619451605,14
4772,17.3997391636,13
4773,16.4677523692,8
4774,13.1466011409,12
4775,13.4681204816,9
4776,13.4681204816,14
4777,16.4677523692,19
4778,16.3758897004,12
4779,13.6409887432,15
4780,16.9162086372,15
4781,17.0540026403,22
4782,18.0778521035,25
4783,18.6565383287,17
4784,19.5592469256,23
4785,16.1462330285,20
4786,13.514051816,10
4787,14.0084394183,8
4788,17.5726074253,21
4789,17.3078764949,15
4790,16.1921643629,18
4791,13.7787827464,16
4792,17.4214533154,25
4793,17.5133159841,19
4794,18.0778521035,14
4795,13.3303264784,14
4796,14.400107276,12
4797,13.1466011409,18
4798,16.5487579621,17
4799,16.4677523692,15
4800,12.9628758034,7
4801,13.3303264784,6
4802,13.4221891472,6
4803,13.284395144,14
4804,17.6753271699,11
4805,13.284395144,8
4806,13.284395144,6
4807,13.284395144,5
4808,13.514051816,3
4809,14.1462334215,6
4810,12.4626921401,11
4811,14.2623132729,19
4812,13.9165767495,10
4813,14.4460386104,13
4814,13.4681204816,4
4815,11.9683045378,4
4816,12.1060985409,4
4817,14.0543707527,10
4818,13.7437084879,16
4819,13.6977771535,21
4820,14.400107276,20
4821,12.6464174777,9
4822,14.2840274246,9
4823,17.4673846498,20
4824,14.0652278286,7
4825,19.1017015667,19
4826,13.284395144,8
4827,13.514051816,9
4828,15.7454760799,9
4829,15.0890772918,8
4830,17.1458653091,18
4831,14.9729974404,14
4832,14.6055467653,16
4833,15.3513051913,8
4834,19.5476548038,21
4835,14.6514780997,9
4836,13.9165767495,8
4837,13.3762578128,8
4838,13.514051816,7
4839,13.1466011409,8
4840,13.1925324753,7
4841,16.1921643629,10
4842,19.158489977,11
4843,13.1006698065,8
4844,13.0088071377,7
4845,13.4681204816,6
4846,13.4221891472,4
4847,13.3762578128,7
4848,13.3303264784,5
4849,11.9223732034,7
4850,12.692348812,5
4851,14.3758900934,11
4852,13.8706454152,6
4853,12.1871041338,7
4854,13.3303264784,9
4855,13.3762578128,9
4856,11.7386478659,3
4857,11.4171285252,4
4858,12.916944469,3
4859,13.1925324753,9
4860,13.3303264784,6
4861,13.4681204816,8
4862,17.375521981,13
4863,17.375521981,9
4864,13.514051816,5
4865,13.3762578128,8
4866,13.3762578128,6
4867,13.1925324753,8
4868,13.7787827464,8
4869,20.274202109,16
4870,21.8199493871,19
4871,13.284395144,3
4872,13.284395144,5
4873,13.284395144,9
4874,13.284395144,8
4875,13.3762578128,9
4876,14.997214623,11
4877,11.5089911939,6
4878,11.6927165315,4
4879,11.3711971908,8
4880,11.5089911939,4
4881,11.7386478659,5
4882,11.7386478659,8
4883,13.3762578128,8
4884,13.9165767495,7
4885,12.5494937939,3
4886,12.4576311251,8
4887,12.4116997908,5
4888,12.5494937939,8
4889,13.6977771535,14
4890,14.1921647558,11
4891,15.0890772918,10
4892,13.514051816,9
4893,16.112926755,19
4894,19.1125586426,17
4895,17.7429726561,10
4896,14.0084394183,8
4897,11.4630598596,4
4898,13.2384638097,5
4899,14.8594206199,6
4900,15.0431459574,9
4901,19.4340779833,13
4902,13.8355711566,11
4903,13.1466011409,7
4904,13.2384638097,8
4905,18.0319207691,9
4906,13.8247140808,9
4907,12.9628758034,6
4908,13.0088071377,4
4909,16.4677523692,9
4910,19.1017015667,15
4911,17.9509151762,13
4912,16.9729970474,7
4913,16.8352030443,6
4914,16.6514777067,8
4915,14.0084394183,11
4916,13.6518458191,8
4917,13.1006698065,9
4918,13.3303264784,7
4919,13.3762578128,6
4920,12.9628758034,6
4921,16.4677523692,7
4922,17.9049838418,9
4923,13.0088071377,6
4924,13.0547384721,5
4925,13.4221891472,8
4926,13.4221891472,5
4927,13.2384638097,6
4928,13.1466011409,9
4929,12.8250818002,6
4930,12.6872877971,3
4931,12.7791504658,8
4932,15.8247136878,7
4933,12.8250818002,6
4934,16.2380956973,7
4935,16.559615038,8
4936,15.3538082222,9
4937,13.284395144,7
4938,12.8250818002,8
4939,12.9628758034,9
4940,13.0088071377,5
4941,19.2044213114,8
4942,24.2242419128,19
4943,14.0543707527,8
4944,13.3762578128,7
4945,13.1006698065,7
4946,13.0088071377,7
4947,12.916944469,6
4948,12.916944469,5
4949,13.5491260745,9
4950,13.7787827464,11
4951,12.8710131346,8
4952,15.9165763566,8
4953,18.5154512956,12
4954,16.4218210348,6
4955,13.1925324753,4
4956,12.9628758034,3
4957,16.559615038,8
4958,16.5136837036,8
4959,16.4677523692,6
4960,19.4232209074,10
4961,19.1910612046,10
4962,19.525940652,12
4963,23.538564927,18
4964,16.2380956973,7
4965,16.3758897004,6
4966,17.9216369786,9
4967,16.3758897004,7
4968,13.284395144,4
4969,13.2384638097,6
4970,13.284395144,8
4971,13.3303264784,7
4972,15.1700828847,12
4973,18.491234113,19
4974,12.916944469,9
4975,13.2384638097,7
4976,14.5838326136,8
4977,14.4460386104,12
4978,13.5599831503,8
4979,13.732851412,8
4980,13.732851412,15
4981,17.0999339747,17
4982,18.5830967817,12
4983,16.0084390253,4
4984,16.1462330285,5
4985,17.5834645012,14
4986,16.778414634,16
4987,14.4460386104,16
4988,13.4221891472,24
4989,13.7896398223,14
4990,14.329958759,12
4991,19.4340779833,25
4992,16.9162086372,19
4993,13.6869200776,10
4994,17.5375331668,18
4995,17.3538078292,14
4996,17.6644700941,14
4997,14.8944948784,8
4998,16.8702773028,21
4999,18.5997499185,25
5000,17.0540026403,28
5001,17.4214533154,27
5002,17.6293958355,36
5003,17.1567223849,16
5004,19.899187388,18
5005,23.6437877025,37
5006,23.8275130401,42
5007,22.6658695737,25
5008,16.2840270317,11
5009,21.085048037,31
5010,20.9964783982,21
5011,19.2836589193,22
5012,16.0543703597,17
5013,16.0543703597,18
5014,18.186367909,29
5015,19.375521588,22
5016,19.8699091904,26
5017,17.7379116411,19
5018,16.7324832996,22
5019,17.3997391636,33
5020,17.8757056442,27
5021,17.8757056442,33
5022,21.1234153255,36
5023,18.0945052403,21
5024,19.4214529224,21
5025,20.5830963888,15
5026,21.013131535,26
5027,24.5957206637,28
5028,22.8311737895,22
5029,20.1697143793,16
5030,22.0354559532,23
5031,16.2840270317,8
5032,18.0945052403,20
5033,17.6001176379,18
5034,15.8247136878,22
5035,15.6869196847,14
5036,16.559615038,13
5037,16.4677523692,13
5038,20.6456808599,22
5039,22.2832908069,23
5040,21.0941371279,29
5041,16.0084390253,25
5042,19.3187331778,26
5043,16.2840270317,20
5044,16.2380956973,25
5045,16.0084390253,25
5046,17.9567112371,21
5047,19.7321151872,25
5048,16.4677523692,27
5049,16.1462330285,31
5050,17.5541863035,27
5051,21.0482057935,29
5052,13.2384638097,18
5053,13.1006698065,16
5054,16.2840270317,30
5055,18.0026425715,31
5056,17.4623236348,28
5057,18.9621395786,33
5058,19.3187331778,34
5059,19.226870509,31
5060,17.6001176379,27
5061,19.3187331778,41
5062,20.9104117903,36
5063,22.866248048,29
5064,19.0999335817,32
5065,20.2615770481,38
5066,20.6807551184,28
5067,21.5776676544,32
5068,20.6456808599,36
5069,22.3183650654,30
5070,24.2315630186,25
5071,21.6235989887,31
5072,23.4966616685,38
5073,24.0019063467,29
5074,20.6916121943,32
5075,22.4102277341,34
5076,22.0077028006,30
5077,20.0319203762,29
5078,20.9563431247,33
5079,20.3241615192,31
5080,19.4565271809,34
5081,19.2836589193,33
5082,21.9968457247,38
5083,22.939689595,36
5084,17.4623236348,16
5085,16.2840270317,12
5086,21.231931131,29
5087,20.8294061974,19
5088,19.7780465216,25
5089,21.1049942037,34
5090,24.4395055388,38
5091,26.0988296375,42
5092,26.0528983031,41
5093,23.7205222795,32
5094,19.8699091904,29
5095,18.6456812529,30
5096,18.3241619122,34
5097,19.375521588,35
5098,19.5943211841,35
5099,21.7021015507,28
5100,20.9672002006,45
5101,21.1509255381,28
5102,19.823977856,29
5103,20.4344453097,25
5104,17.6001176379,21
5105,17.4623236348,13
5106,16.4218210348,15
5107,18.0134996474,17
5108,18.0134996474,18
5109,19.5592469256,23
5110,18.0134996474,18
5111,19.6861838528,21
5112,19.4214529224,22
5113,19.1458649161,20
5114,19.6051782599,8
5115,16.4677523692,3
5116,16.2380956973,3
5117,16.1462330285,11
5118,21.1935638425,27
5119,19.7563323699,24
5120,19.008070913,17
5121,19.008070913,14
5122,15.962507691,10
5123,18.2431563193,17
5124,18.0134996474,16
5125,17.7838429755,18
5126,18.1512936505,15
5127,18.0134996474,23
5128,18.0594309818,21
5129,18.1512936505,19
5130,19.083280445,16
5131,18.2890876537,26
5132,19.3129371169,16
5133,16.6055463723,17
5134,18.2890876537,19
5135,18.4728129912,15
5136,18.2890876537,14
5137,18.1512936505,11
5138,17.9107799027,17
5139,17.8757056442,15
5140,19.7780465216,13
5141,16.6514777067,10
5142,17.6753271699,12
5143,18.0134996474,14
5144,18.3700932466,12
5145,18.4268816568,10
5146,18.3350189881,10
5147,18.2431563193,17
5148,20.9505470638,25
5149,15.7454760799,15
5150,18.042777845,12
5151,19.4232209074,14
5152,14.1921647558,8
5153,17.1917966435,21
5154,17.375521981,22
5155,20.1288440599,27
5156,19.4047997857,8
5157,19.8532560536,13
5158,19.9451187224,9
5159,22.6525094669,17
5160,18.2431563193,14
5161,18.3350189881,7
5162,18.4268816568,17
5163,18.0594309818,12
5164,13.3762578128,6
5165,13.6977771535,7
5166,14.1462334215,10
5167,13.7437084879,16
5168,17.4214533154,18
5169,16.927065713,14
5170,16.8811343786,10
5171,17.1458653091,8
5172,17.7212585043,8
5173,18.4268816568,13
5174,20.3451406251,12
5175,18.5997499185,16
5176,20.0829127255,20
5177,19.2210744481,13
5178,16.9729970474,3
5179,17.4214533154,5
5180,19.0590632623,11
5181,18.3350189881,9
5182,19.7722504607,10
5183,18.2431563193,12
5184,13.7896398223,8
5185,13.9733651598,5
5186,15.1809399605,7
5187,13.9733651598,10
5188,14.0652278286,2
5189,13.9733651598,8
5190,16.8811343786,6
5191,16.927065713,5
5192,16.927065713,5
5193,16.9729970474,2
5194,18.1805718481,8
5195,17.5592473185,11
5196,21.2178359784,18
5197,23.4467572114,16
5198,17.2485850537,20
5199,19.972628935,3
5200,19.7429722631,3
5201,18.3350189881,5
5202,19.8348349319,8
5203,13.8355711566,3
5204,16.8811343786,6
5205,17.0189283818,3
5206,13.7437084879,2
5207,13.7437084879,6
5208,18.3183658513,13
5209,19.0749813532,15
5210,22.2225292739,15
5211,18.93718735,12
5212,17.0648597162,12
5213,16.6514777067,4
5214,16.6974090411,4
5215,13.4221891472,7
5216,12.4626921401,6
5217,14.1003020871,8
5218,15.0431459574,8
5219,13.3762578128,7
5220,13.3762578128,5
5221,13.7437084879,6
5222,13.6518458191,8
5223,13.9733651598,6
5224,15.1350086262,6
5225,15.1809399605,12
5226,13.7437084879,5
5227,15.6753275629,8
5228,21.090109052,8
5229,13.514051816,4
5230,17.8590525075,8
5231,19.0532672014,10
5232,10.6981452659,9
5233,10.7900079347,7
5234,13.3320944634,10
5235,12.4919703377,13
5236,14.3133056222,16
5237,10.6413568556,9
5238,10.1929005877,5
5239,8.46342797194,5
5240,11.7219947291,8
5241,11.7219947291,8
5242,8.6012219751,3
5243,8.6012219751,3
5244,10.8250821932,10
5245,11.8489316564,10
5246,10.7332195244,8
5247,10.7332195244,10
5248,10.2847632564,3
5249,10.2847632564,4
5250,10.4225572596,7
5251,10.0091752501,6
5252,9.54986190629,6
5253,9.96324391575,5
5254,9.68765590945,7
5255,10.2847632564,4
5256,12.5946900824,9
5257,15.9451195083,13
5258,11.8305105346,8
5259,11.6927165315,8
5260,11.6467851971,6
5261,12.1520298753,8
5262,13.9917862816,8
5263,14.6131108112,9
5264,16.2181495305,20
5265,11.876441869,8
5266,11.6008538627,7
5267,11.4171285252,6
5268,11.5089911939,6
5269,11.876441869,4
5270,12.0142358722,7
5271,16.2047894238,16
5272,13.4681204816,7
5273,11.3252658564,5
5274,11.3252658564,5
5275,11.4171285252,6
5276,13.2384638097,6
5277,11.4630598596,3
5278,11.4630598596,5
5279,12.9628758034,6
5280,11.4171285252,6
5281,12.6464174777,7
5282,14.7892721028,13
5283,17.3555758142,12
5284,13.1299480041,7
5285,13.3762578128,8
5286,19.2044213114,13
5287,19.1935642355,14
5288,18.8829019707,13
5289,20.7501685895,16
5290,13.3762578128,6
5291,13.1466011409,5
5292,13.3303264784,7
5293,18.9805607003,19
5294,18.8294065904,18
5295,13.3303264784,7
5296,13.8355711566,6
5297,13.0547384721,2
5298,13.284395144,3
5299,13.9165767495,7
5300,13.3762578128,7
5301,13.1006698065,5
5302,13.3762578128,7
5303,17.1917966435,8
5304,18.9747646394,6
5305,14.8134892855,6
5306,16.329958366,5
5307,16.3758897004,3
5308,16.2380956973,3
5309,17.5834645012,7
5310,16.1462330285,5
5311,14.0652278286,3
5312,13.6059144847,2
5313,16.7433403755,4
5314,17.1567223849,8
5315,20.2666380631,9
5316,20.0829127255,9
5317,18.3700932466,8
5318,16.6514777067,5
5319,17.9509151762,6
5320,20.3125693975,6
5321,17.8297743098,5
5322,19.8532560536,9
5323,19.9451187224,9
5324,18.56467566,8
5325,19.0699203382,7
5326,19.0699203382,5
5327,18.6106069944,7
5328,19.5425937888,10
5329,22.0420420132,26
5330,26.7837715774,20
5331,25.8083564794,17
5332,22.7443721357,11
5333,18.9212692592,9
5334,18.1512936505,7
5335,18.9672005936,12
5336,18.0134996474,6
5337,10.2847632564,4
5338,11.9683045378,8
5339,11.8305105346,6
5340,10.1469692533,4
5341,12.2438925441,9
5342,11.876441869,7
5343,11.7845792002,5
5344,11.9223732034,5
5345,12.4626921401,11
5346,11.876441869,7
5347,11.9683045378,8
5348,12.0493101307,8
5349,12.5086234745,8
5350,14.7675579511,17
5351,14.1570904973,21
5352,15.7078987905,25
5353,16.6966739952,18
5354,19.6521425334,17
5355,22.4847022203,27
5356,21.4065673777,16
5357,18.56138263,16
5358,13.1925324753,13
5359,13.3762578128,11
5360,18.1697147723,12
5361,17.2377279778,27
5362,21.8658807215,22
5363,16.6055463723,11
5364,17.6293958355,8
5365,17.7212585043,15
5366,18.3075087754,18
5367,18.1697147723,10
5368,17.9859894347,8
5369,16.6974090411,6
5370,18.261577441,19
5371,16.6974090411,16
5372,19.083280445,18
5373,19.2210744481,15
5374,12.0601672065,8
5375,14.107866133,8
5376,14.7107695408,18
5377,22.5298435555,25
5378,17.1458653091,19
5379,23.6655018543,25
5380,13.3762578128,8
5381,13.514051816,6
5382,14.7567008752,10
5383,17.6644700941,19
5384,18.186367909,26
5385,20.6749590575,23
5386,34.5470351677,24
5387,23.8951585262,33
5388,22.2850587919,25
5389,25.1562287072,18
5390,18.3700932466,17
5391,16.6974090411,12
5392,18.2890876537,21
5393,19.3646645122,14
5394,18.0134996474,13
5395,18.3241619122,15
5396,26.1906923063,30
5397,28.7418679259,21
5398,22.4561590685,27
5399,24.1179861981,23
5400,23.2962831942,22
5401,23.8015278724,24
5402,16.8243459684,12
5403,16.8243459684,13
5404,17.7379116411,29
5405,19.0999335817,19
5406,20.9104117903,26
5407,20.7834748631,18
5408,19.9158405248,17
5409,19.6861838528,18
5410,19.1917962505,14
5411,17.5082549692,20
5412,18.9621395786,24
5413,19.6511095943,16
5414,21.1509255381,19
5415,16.4218210348,14
5416,16.778414634,17
5417,17.3245296316,13
5418,17.3136725557,20
5419,17.221809887,17
5420,13.6409887432,13
5421,13.4681204816,10
5422,16.1921643629,18
5423,16.2840270317,12
5424,15.9165763566,16
5425,18.8243455754,27
5426,21.1049942037,22
5427,13.3303264784,17
5428,19.008070913,20
5429,19.5592469256,18
5430,16.2840270317,14
5431,11.5089911939,6
5432,16.0894446182,13
5433,15.8247136878,18
5434,16.8702773028,12
5435,13.732851412,15
5436,16.4677523692,25
5437,17.5082549692,20
5438,18.0945052403,18
5439,17.7729858996,23
5440,16.778414634,21
5441,18.3700932466,31
5442,17.9107799027,25
5443,19.5483898497,26
5444,19.3187331778,28
5445,19.7780465216,23
5446,21.0482057935,31
5447,20.4453023856,28
5448,21.6235989887,29
5449,24.577299542,16
5450,22.6474484519,25
5451,24.2315630186,27
5452,24.0478376811,21
5453,22.5263075856,27
5454,22.272433731,23
5455,18.9162082442,18
5456,22.2340664425,16
5457,20.5078868568,13
5458,20.864480456,23
5459,22.4561590685,22
5460,20.7266864528,24
5461,23.3237934068,25
5462,25.4098596218,17
5463,20.8185491216,23
5464,24.0019063467,29
5465,24.4395055388,25
5466,21.3237937998,20
5467,22.8236097436,21
5468,22.6398844061,20
5469,21.2427882069,21
5470,22.5020904029,18
5471,24.4152883562,25
5472,24.0019063467,25
5473,23.0315522638,18
5474,24.5071510249,25
5475,21.0590628694,5
5476,22.5588788132,9
5477,22.9263294882,10
5478,21.2887195413,10
5479,22.6507414819,13
5480,22.8236097436,20
5481,21.0590628694,16
5482,19.7321151872,24
5483,19.4673842568,14
5484,16.4677523692,14
5485,18.2431563193,15
5486,18.1512936505,9
5487,18.3700932466,19
5488,20.3885139754,20
5489,17.967568313,13
5490,17.967568313,14
5491,18.1053623161,13
5492,16.6514777067,15
5493,18.6916125873,27
5494,18.5078872497,19
5495,19.4398740442,16
5496,16.6055463723,8
5497,18.1053623161,8
5498,19.083280445,10
5499,18.2431563193,12
5500,16.6514777067,15
5501,18.3350189881,18
5502,19.972628935,20
5503,20.5129478717,23
5504,20.5129478717,17
5505,23.8875944803,14
5506,22.0554021199,19
5507,21.3237937998,19
5508,18.1972249849,16
5509,23.2829230874,13
5510,22.496294342,14
5511,12.9679368183,11
5512,13.7161982752,10
5513,13.4865416033,18
5514,10.7440766003,11
5515,10.9169448619,11
5516,12.692348812,18
5517,12.3816865472,19
5518,12.1979612097,6
5519,10.5603512627,6
5520,10.7440766003,8
5521,12.1060985409,8
5522,12.324898137,13
5523,14.3758900934,13
5524,14.7107695408,17
5525,12.7842114808,8
5526,12.7382801464,8
5527,13.4681204816,17
5528,12.3816865472,8
5529,12.4276178816,9
5530,14.2380960902,15
5531,14.2380960902,20
5532,14.0192964942,7
5533,13.9274338254,6
5534,13.9274338254,17
5535,12.4276178816,8
5536,14.2840274246,19
5537,14.329958759,14
5538,12.6113432191,15
5539,12.1520298753,8
5540,12.8760741496,7
5541,12.2898238785,12
5542,12.8760741496,13
5543,14.3758900934,18
5544,14.1295802847,10
5545,16.2832919858,18
5546,16.4344460957,9
5547,14.329958759,13
5548,12.1520298753,7
5549,11.9223732034,2
5550,11.9683045378,8
5551,12.0601672065,6
5552,12.4276178816,5
5553,12.1060985409,3
5554,12.7842114808,4
5555,12.5545548089,8
5556,11.7386478659,5
5557,13.6977771535,8
5558,14.4326785036,18
5559,16.0862065414,16
5560,13.070656563,6
5561,12.473549216,4
5562,12.2898238785,3
5563,12.2898238785,3
5564,13.8355711566,6
5565,13.9274338254,8
5566,13.9733651598,12
5567,13.7896398223,4
5568,13.7437084879,3
5569,13.7437084879,3
5570,10.8818706034,5
5571,10.7440766003,5
5572,12.2898238785,6
5573,12.1060985409,7
5574,10.468488594,2
5575,10.5144199284,3
5576,10.3766259252,6
5577,11.9223732034,4
5578,11.9683045378,4
5579,12.0601672065,5
5580,11.9683045378,6
5581,12.1060985409,2
5582,11.9683045378,2
5583,11.876441869,2
5584,11.9223732034,4
5585,11.7845792002,5
5586,13.284395144,7
5587,11.7845792002,6
5588,13.881502491,6
5589,12.2898238785,3
5590,11.9223732034,3
5591,11.7386478659,7
5592,11.876441869,4
5593,16.7433403755,5
5594,16.6514777067,7
5595,13.4221891472,6
5596,16.1805722411,5
5597,21.5527154258,14
5598,14.1921647558,15
5599,17.967568313,17
5600,18.9154731983,10
5601,19.8825342512,12
5602,13.8355711566,5
5603,13.514051816,5
5604,13.3303264784,4
5605,17.2485850537,8
5606,19.4340779833,10
5607,13.5599831503,8
5608,13.8355711566,8
5609,13.9733651598,5
5610,13.9274338254,6
5611,16.6055463723,7
5612,16.9729970474,5
5613,16.927065713,8
5614,21.0550347935,14
5615,19.5125805453,12
5616,16.329958366,4
5617,16.2380956973,5
5618,17.0648597162,7
5619,23.1845293119,13
5620,22.571503874,17
5621,14.1997288017,9
5622,12.1979612097,7
5623,12.0601672065,4
5624,11.6467851971,2
5625,11.6927165315,7
5626,11.4630598596,5
5627,11.4171285252,3
5628,11.5549225283,3
5629,11.6008538627,6
5630,11.6927165315,5
5631,11.6008538627,4
5632,11.4630598596,6
5633,11.4171285252,2
5634,11.9975827354,8
5635,10.7440766003,7
5636,12.3082450002,10
5637,10.7900079347,3
5638,11.0547388651,3
5639,9.91731258136,7
5640,9.87138124698,4
5641,10.1010379189,3
5642,10.0551065845,4
5643,10.4225572596,6
5644,9.96324391575,3
5645,10.1010379189,2
5646,11.2384642026,10
5647,12.922005484,10
5648,17.4123642245,14
5649,13.1057308215,8
5650,11.4171285252,6
5651,11.9223732034,4
5652,10.1010379189,4
5653,10.1929005877,3
5654,10.0551065845,8
5655,13.6351926824,9
5656,13.8706454152,8
5657,11.8305105346,7
5658,11.6927165315,3
5659,11.7386478659,4
5660,11.3711971908,5
5661,13.1466011409,5
5662,12.9628758034,8
5663,13.3303264784,5
5664,13.4221891472,7
5665,22.7418691048,8
5666,25.5736937457,8
5667,26.7486973189,18
5668,18.7943323319,8
5669,16.7892717099,6
5670,12.1520298753,6
5671,10.1010379189,4
5672,10.4225572596,4
5673,10.5603512627,3
5674,12.3357552128,10
5675,13.808060944,9
5676,13.6351926824,9
5677,13.2218106729,13
5678,14.7183335867,17
5679,10.0551065845,5
5680,10.3766259252,3
5681,11.8138573979,8
5682,11.9223732034,5
5683,10.1929005877,3
5684,10.468488594,5
5685,10.2388319221,6
5686,10.4225572596,4
5687,12.7842114808,6
5688,14.8753387107,8
5689,16.4428001406,19
5690,17.6153006829,16
5691,20.0203282544,19
5692,18.7668221193,20
5693,13.9165767495,7
5694,19.4232209074,10
5695,13.2384638097,4
5696,11.9223732034,3
5697,12.0142358722,5
5698,14.8134892855,8
5699,13.9733651598,11
5700,15.8106185351,10
5701,16.9021134845,10
5702,21.4308395135,22
5703,13.3762578128,5
5704,15.2160142191,11
5705,18.491234113,29
5706,16.9621399715,18
5707,13.732851412,8
5708,19.377289573,10
5709,19.6695307161,17
5710,12.0142358722,13
5711,16.2380956973,17
5712,16.1462330285,15
5713,12.4626921401,11
5714,13.6059144847,8
5715,13.9274338254,6
5716,16.927065713,13
5717,16.8352030443,13
5718,20.7960999239,15
5719,22.9389545491,24
5720,17.9968465106,19
5721,13.1925324753,9
5722,15.2619455534,10
5723,17.6970413217,19
5724,22.5874219649,24
5725,18.7776791951,23
5726,17.7671898387,21
5727,18.8369706363,10
5728,13.5599831503,4
5729,13.6059144847,3
5730,13.7787827464,13
5731,16.8702773028,16
5732,18.5997499185,23
5733,20.7501685895,19
5734,18.8720448948,25
5735,19.0206959738,15
5736,16.4677523692,12
5737,17.9400581004,5
5738,14.5838326136,13
5739,18.0778521035,22
5740,19.44743809,14
5741,13.6409887432,4
5742,13.2384638097,11
5743,13.5950574089,13
5744,16.7324832996,26
5745,17.1700824917,28
5746,17.445670498,21
5747,18.853623773,22
5748,18.3700932466,16
5749,16.7433403755,9
5750,19.1292117793,21
5751,19.5943211841,25
5752,19.6402525185,22
5753,21.1859997966,29
5754,22.128843667,17
5755,16.9621399715,8
5756,19.1751431137,29
5757,18.853623773,25
5758,19.7321151872,25
5759,20.1237830449,20
5760,19.5943211841,18
5761,22.9614037467,28
5762,22.8236097436,16
5763,21.3237937998,19
5764,16.5136837036,10
5765,18.2322992434,20
5766,19.7780465216,21
5767,21.1049942037,27
5768,22.6048101476,30
5769,22.9614037467,24
5770,22.4561590685,27
5771,23.0073350811,25
5772,22.5480217373,25
5773,24.5071510249,27
5774,21.1859997966,18
5775,28.363560175,25
5776,32.2818187503,21
5777,22.2265023966,22
5778,18.629763162,18
5779,19.5483898497,20
5780,13.514051816,5
5781,13.4221891472,15
5782,13.7787827464,11
5783,12.0142358722,3
5784,13.6409887432,25
5785,18.3241619122,29
5786,19.3187331778,27
5787,19.7563323699,23
5788,21.4156564686,19
5789,13.2384638097,11
